Name,Type,Area,Address,Phone,Cholov Yisroel,Pas Yisroel,Yoshon,Bishul Yisroel Tuna
Forty One,"Catering, Dairy, Meat",Miami Beach,4101 Pinetree Dr.,305-230-4200,All Items,All Items,Challah Rolls are Yoshon,No
Fresko,Dairy,Aventura,19048 NE 29th Ave,786-272-3737,All Items,All Items,All Yoshon Except Muffins,Yes
Fuego,Meat,North Miami Beach,3861 NE 163rd Street,786-520-4082,N/A,Except Wraps,N/A,N/A
Gallery of Cakes,"Pareve, Bakery",Aventura,19206 W Dixie Hwy,305-935-1114,N/A,All Items,All Items,N/A
Gourmet Event / Magician Chef@Alexander Hotel,"Catering, Dairy, Meat",Miami Beach,5225 Collins Avenue,954-548-6981,All Items,All Items,Available,Available
Gourmet Heimish,"Pareve, Catering, Meat",North Miami Beach,1215 NE 171 Terrace,305-502-4611,All Items,All Items,Available,Yes
Hadekel,"Pareve, Dairy",North Miami Beach,2500 NE 186St,305-684-2435,All Items,All Items,All Items,Yes
Hanoya,"Dairy, Misc, Pareve",Other,,954-795-3563,All Items,All Items,No,N/A
Harbour Grill,Meat,Surfside,9415 Harding Avenue,305-861-0787,N/A,No,No,N/A
Hikari,Meat,Surfside,9472 Harding Ave,,N/A,All Items,No,N/A
Holy Bites,Meat,Aventura,19202 West Dixie Hwy,305-200-5555,N/A,All Items,All Items,N/A
Holy Grill and Deli,Meat,Miami,93 NW 1st Street,305-961-7878,N/A,All Items,No,Yes
Homemade By Vanessa,Take Out,North Miami Beach,1880 NE 183rd Street,,N/A,No,No,No
In and Out Bagels,Dairy,Aventura,18800 NE 29th Ave Suite 9,305-974-0051,All Items,All Items,Available,No
International Foods by Noni,"Pareve, Misc, Dairy",North Miami Beach,17030 W Dixie Hwy,305-608-8671,All Items,All Items,No,N/A
Island Spice Jamaica,"Pareve, Misc, Commercial",Miami,1209 NW 93Court,786-208-2066,N/A,N/A,N/A,N/A
Itz Good,Bakery,Miami Beach,4141 Nautilus Drive,305-342-5547,N/A,All Items,No,N/A
J Chef,Misc,Aventura,20255 NE 15th CT,855-524-3318,N/A,Bread Only,No,N/A
Jerusalem Pizza,Dairy,North Miami Beach,761 NE 167th St,305-653-6662,All Items,All Items,Pizza and Pita is Yoshon,No
Josh's Deli,Meat,Surfside,9517 Harding Ave,305-397-8494,No,All Items,No,No
Katai Sushi Express,"Misc, Catering",Other,,786-303-7443,N/A,All Items,No,No
Kokoa,"Pareve, Bakery",Aventura,18947 West Dixie High Way,786-930-1420,N/A,All Items,No,N/A
Kosh,Meat,Surfside,9477 Harding Ave.,305-763-8601,N/A,All Items,Available,N/A
Kosher from Z Heart,Catering,Hollywood,4821 SW 29th Ave,305-761-8422,N/A,All Items,No,No
Kosher Gourmet By Jacob,"Catering, Meat",Hollywood,1523 Dewey Street,212-933-0774,N/A,All Items,No,No
Kosher Kingdom,"Grocery, Butcher, Bakery",Aventura,3017 Aventura Blvd,305-792-7988,All Items,Products Baked on Premises,N/A,Yes
Kosher Palate,"Meat, Dairy, Catering",North Miami Beach,990 NE 171 Street,305-788-3232,All Items,All Items,Available,Yes
Kosher Price 2,"Grocery, Butcher, Take Out, Bakery, Dairy",Miami Beach,514 W 41st Street,786-999-2299,All Items,All Items,Available,Yes
Krudo,"Misc, Take Out",North Miami Beach,17092 West Dixie Highway,786-440-5483,N/A,All Items,No,N/A
La Matera,Meat,North Miami Beach,3073 NE 163rd Street,305-974-4485,N/A,All Items,No,N/A
Le Chocolatier,Misc,North Miami Beach,1840 NE 16th Street,305-944-3020,Some Items,Except Twisted Pretzels,No,N/A
Leah's Famous Sourdough,"Pareve, Bakery",Broward County,4750 SW 27th Ave,718-314-7750,N/A,All Items,No,N/A
Lili's Prime Catering,"Catering, Bakery",North Miami Beach,17100 NE 6th Ave,786-277-1351,All Items,All Items,No,N/A
Macaron By Hadas,"Dairy, Pareve",Hollywood,5804 Stirling Rd,954-228-4949,All Items,All Items,No,No
Mama's Pizza and Coffee Shop,Dairy,Aventura,19200 W. Dixie Highway,305-974-5549,All Items,All Items,All Items,Yes
Mamale Cafe,Dairy,Bal Harbour,1017 Kane Concourse,786-648-9045,All Items,All Items,All Items,Yes
Meat Bar,Meat,Bal Harbour,1009 Kane Concourse,786-216-7275,N/A,Except Bread Crumbs,Pita is Yoshon,N/A
Meat Bar Butcher,"Butcher, Take Out, Meat",North Miami Beach,18514 W Dixie Hwy,305-749-6253,N/A,All Items,No,N/A
Miami Alkaline Water,Misc,Other,68 miracle mile,305-677-9897,N/A,N/A,N/A,N/A
Miami Beach Chocolates - Surfside,Misc,Surfside,9433 Harding Ave,305-532-4949,All Items,All Items,No,N/A
Miami Fresh Fish Market,Misc,Miami Beach,3911 Alton Rd,305-763-8225,N/A,All Items,No,N/A
Milano's Kosher Restaurant,Dairy,Aventura,19090 NE 29th Ave,786-640-6400,All Items,All Items,No,No
Moriela Gourmet Paletas ONLY when bearing KDM,Dairy,Miami,,1-833-423-7677,No,N/A,N/A,N/A
Mrs. Fields - Only this location in Aventura Mall,"Misc, Bakery",Aventura,19575 Biscayne Blvd #359,786-431-7732,No,No,No,N/A
Mucaro Coffees,"Misc, Commercial",Miami,15915 NW 49th Ave,407-252-7579,N/A,N/A,N/A,N/A
Mutra,Meat,North Miami Beach,2188 NE 123rd Street,(786) 860-1213,N/A,All Items,No,N/A
Naamah Sushi #20 This location ONLY,Misc,Boca Raton,8177 Glades Rd,561-617-7129,N/A,N/A,No,N/A
Naturefood 2010 Company,Commercial,Other,"18 Hargrove Grade, Suite 106",386-283-4968,No,No,No,N/A
New Time Take Out & Catering,"Catering, Take Out, Bakery",North Miami Beach,2126 NE 123rd Street,305-891-6336,All Items,All Items,Available,Yes
Neya,Dairy,Surfside,9491 Harding Ave,305-542-0768,All Items,All Items,No,N/A
Nothing Bundt Cakes - ONLY this location,Bakery,Boca Raton,8194 Glades Rd,561-788-7311,No,No,No,No
Nothing Bundt Cakes - ONLY this location.,"Bakery, Dairy",North Miami Beach,15400 Biscayne Blvd #112,305-974-4536,No,No,No,N/A
Oakberry Surfside - THIS LOCATION ONLY,"Misc, Pareve",Surfside,9455 Harding Ave,,N/A,N/A,No,N/A
Oki Miami,Meat,North Miami Beach,3873 NE 163rd Street,(786)724-8403,N/A,All Items,No,N/A
Ostrow Brasserie,Meat,Miami,4850 NW 2nd Ave,786-238-7452,N/A,All Items,No,N/A
OVO at The Altair,Meat,Surfside,9540 W Bay Harbor Dr.,305-990-2228,All Items,All Items,Available,No
Pita Hut-Miami,Meat,Miami Beach,530 41st Street,305-531-6090,N/A,Bread Only,No,No
Pita Hut-North Miami Beach,Meat,North Miami Beach,18450 W Dixie Highway,305-792-0821,N/A,"Burger Buns, Pita & Laffa only",No,No
Pita Loca,Meat,Miami Beach,4017 Prairie Ave,305-467-3440,N/A,All Items,N/A,Yes
Pizza Biza,Catering,Other,,732-534-2623,All Items,All Items,No,N/A
Poppy Jaccks,Misc,Miami Beach,6616 Collins Ave,908-244-8130,N/A,N/A,N/A,N/A
Quality Quail Eggs,Commercial,Miami,11304 NW 58th Terrace,786-853-9649,N/A,N/A,N/A,N/A
Reb Shayala's Kitchen,"Meat, Dairy, Take Out",North Miami Beach,17301 NE 12th Ct.,305-339-6339,All Items,All Items,No,No
RITA’S of Deerfield Beach,Dairy,Broward County,1305 S. Military Trail,954-531-6464,No,No,N/A,N/A
Roast,Meat,Surfside,9441 Harding Ave,786-803-8857,N/A,All Items,N/A,N/A
Rustiko,Dairy,Surfside,9476 Harding Ave,305-560-5650,All Items,All Items,N/A,Yes
Sababa Boards,Dairy,North Miami Beach,2020 NE 163rd street #300,786-657-4106,All Items,No,No,No
Salt And Pepper,Catering,Miami Beach,954 West 41st Street,,N/A,All Items,Available,N/A
Saras Tent - Food of All Nations,"Grocery, Butcher, Bakery",Aventura,3565 NE 207th Street,305-933-2888,All Items,Products Baked on Premises,Pizza & Breads,Yes
Scheck Hillel Community School,Misc,Miami,19000 N.E. 25th Avenue,305-931-2831,Some Items,Available,No,No
Serendipity Yogurt Cafe,"Pareve, Dairy",Surfside,9457 Harding Ave,305-865-1506,All Items,Available,No,N/A
Silan,Meat,Miami Beach,5225 Collins Ave,305-939-5264,N/A,All Items,Available,No
sMoki,Misc,North Miami Beach,1970 NE 153St #13,754-423-5757,N/A,N/A,N/A,N/A
So Heavenly,"Catering, Take Out, Bakery, Meat",North Miami Beach,2228 NE 123rd Street,786-281-4904,N/A,All Items,No,Yes
Soho Asian Bar and Grill,Meat,Aventura,19004 NE 29th Ave,305-466-5656,N/A,All Items,No,No
Sonnys Bakery,"Pareve, Bakery",North Miami Beach,18445 NE 19th Ave,305-682-8770,N/A,All Items,All Items,N/A
South Florida Kosher Meats,"Pareve, Grocery, Butcher, Bakery",North Miami Beach,1324 NE 163rd Street,305-949-6068,All Items,Products Baked on Premises,All Items,Yes
Southern Bear,"Pareve, Commercial",Hollywood,1950 Hayes Street,954-923-0977,N/A,N/A,No,N/A
Square Cafe,Dairy,North Miami Beach,633 NE 167th Street,845-521-4123,All Items,All Items,No,No
Stella's Bakery,"Pareve, Bakery, Dairy",Miami,31 NW 9th Street,305-495-7040,N/A,All Items,No,N/A
Street Kitchen,Meat,Surfside,9460 Harding Avenue,305-763-8267,N/A,All Items,Pita is Yoshon,N/A
Taam Tov,Take Out,Aventura,2615 NE 205th Street,786-690-0565,All Items,All Items,No,No
Tasty Beach Cafe,Dairy,Miami Beach,4041 Royal Palm Ave,305-673-5483,No,Available - Contact KM,No,No
"Temptings, LLC",Catering,North Miami Beach,,305-467-4506,All Items,All Items,No,Available
The Carrot,Meat,Surfside,9519 Harding Ave,786-216-7355,N/A,All Items,Wraps are Yoshon,No
The Maven Baker,"Pareve, Wholesale Only, Commercial, Bakery",Hollywood,1629 S 21st Ave,954-842-0404,N/A,No,No,N/A
The Sweet Tooth,"Pareve, Dairy",North Miami Beach,18435 NE 19th Avenue,305-682-1400,No,No,No,N/A
Thin Slim Foods,Wholesale Only,Other,,,N/A,No,No,N/A
Toasted,Meat,Hollywood,2900 #2 Griffin Rd,954-643-3104,No,All Items,All Items,Yes
TreeHouse Sweets,Misc,North Miami Beach,1376 NE 163rd Street,305-816-6820,All Items,All Items,All Items,No
U Make Candy,Misc,North Miami Beach,633 NE 167th Street,305-242-2666,N/A,N/A,N/A,N/A
Unik Kosher Catering,Catering,Other,,305-721-7663,N/A,All Items,N/A,N/A
Vamss Corp.,Dairy,Miami,16422 NW 54th Ave,7865659908,No,No,N/A,N/A
Wall to Wall Nuts,Misc,North Miami Beach,1646 NE 164th Street,305-944-NUTS,N/A,No,No,N/A
Whipped By Judith,"Pareve, Bakery",Miami Beach,,305-215-8170,N/A,All Items,N/A,N/A
Wildflour Waffles,Misc,Other,,954-348-5171,N/A,All Items,No,N/A
Yalla Delicious,Meat,Sunny Isles,1580 Kennedy Cswy,786-442-8051,N/A,All Items,N/A,N/A
Yo-Chef,Meat,North Miami Beach,,908-538-0220,N/A,All Items,No,Yes
Yossef Roasting,"Pareve, Dairy",Aventura,19098 W. Dixie Hwy,786-916-5141,Some Items,N/A,No,N/A
Yossef Roasting - Hollywood,Misc,Hollywood,2127 Stirling Rd,954–534–7627,Some Items,All Items,No,N/A
Yummy Frozen Yogurt,"Pareve, Dairy",Aventura,3575 NE 207th Street Suite C-2A,917-362-8917,All Items,All Items,All Items,No
Yummy Frozen Yogurt NMB,"Pareve, Dairy",North Miami Beach,901 NE 163rd Street #3,917-362-8917,All Items,All Items,All Items,N/A
Zohars Gelato Surfside,Dairy,Surfside,9543 Harding Ave,917-963-0754,All Items,Except Cones,No,N/A
